"Grow Kit Link","https://www.kosmickitchen.eu/mushroom-grow-kit-instructions"
"Grow Kit FAQ","https://www.kosmickitchen.eu/faq/category/magic-mushroom-grow-kits"
"Apologies","Apologies for the inconvenience."
"Packed and Ready","You're order is packed and ready for shipping tomorrow."
"Packed and in the Fridge","You're order is packed and in the fridge, ready for shipping tomorrow."
"Shipping and Payment Info","https://www.kosmickitchen.eu/order-shipping-and-payment-info"
